"Date","Close","chg.close.","Low","chg.low.","High","chg.high."
2021-08-20,64.28,-1.25,64.09,-0.56,65.84,-0.74
2021-08-23,67.86,3.58,63.92,-0.17,67.93,2.09
2021-08-24,69.78,1.92,67.69,3.77,70,2.07
2021-08-25,70.59,0.81,69.26,1.57,70.69,0.69
2021-08-26,69.57,-1.02,69.19,-0.07,70.45,-0.24
2021-08-27,71.05,1.48,69.89,0.7,71.1,0.65
2021-08-30,71.53,0.48,70.44,0.55,72,0.9
2021-08-31,71,-0.53,70.65,0.21,71.64,-0.36
2021-09-01,71.03,0.03,69.85,-0.8,71.75,0.11
2021-09-02,72.41,1.38,70.34,0.49,72.83,1.08
2021-09-03,71.98,-0.43,71.78,1.44,73.02,0.19
2021-09-07,71.06,-0.92,70.49,-1.29,72.25,-0.77
2021-09-08,71.82,0.76,70.95,0.46,72.23,-0.02
2021-09-09,70.79,-1.03,70.21,-0.74,72.4,0.17
2021-09-10,72.26,1.47,70.31,0.1,72.42,0.02
2021-09-13,72.9,0.64,72.04,1.73,73.27,0.85
2021-09-14,72.97,0.07,72.49,0.45,73.6,0.33
2021-09-15,74.78,1.81,73.14,0.65,75.42,1.82
2021-09-16,74.98,0.2,73.84,0.7,75.18,-0.24
2021-09-17,74.56,-0.42,73.93,0.09,75.07,-0.11
2021-09-20,73.07,-1.49,72.65,-1.28,74.6,-0.47
2021-09-21,73.57,0.5,72.5,-0.15,74.34,-0.26
2021-09-22,75.39,1.82,73.72,1.22,75.45,1.11
2021-09-23,76.46,1.07,74.81,1.09,76.53,1.08
2021-09-24,77.23,0.77,76.07,1.26,77.4,0.87
2021-09-27,78.72,1.49,77.42,1.35,79.04,1.64
2021-09-28,78.35,-0.37,77.31,-0.11,79.94,0.9
2021-09-29,78.09,-0.26,76.77,-0.54,78.74,-1.2
2021-09-30,78.31,0.22,76.5,-0.27,79.31,0.57
2021-10-01,79.28,0.97,77.57,1.07,79.41,0.1
2021-10-04,81.26,1.98,78.76,1.19,82,2.59
2021-10-05,82.56,1.3,81.2,2.44,83.11,1.11
2021-10-06,81.08,-1.48,80.59,-0.61,83.44,0.33
2021-10-07,81.95,0.87,79.08,-1.51,82.5,-0.94
2021-10-08,82.39,0.44,81.96,2.88,83.43,0.93
2021-10-11,83.65,1.26,82.56,0.6,84.6,1.17
2021-10-12,83.42,-0.23,82.72,0.16,84.23,-0.37
2021-10-13,83.18,-0.24,82.21,-0.51,83.69,-0.54
2021-10-14,84,0.82,83.19,0.98,84.53,0.84
2021-10-15,84.86,0.86,84.17,0.98,85.1,0.57
2021-10-18,84.33,-0.53,83.96,-0.21,86.03,0.93
2021-10-19,85.08,0.75,83.71,-0.25,85.4,-0.63
2021-10-20,85.82,0.74,83.63,-0.08,85.89,0.49
2021-10-21,84.61,-1.21,83.36,-0.27,86.12,0.23
2021-10-22,85.53,0.92,83.83,0.47,85.94,-0.18
2021-10-25,85.99,0.46,85.44,1.61,86.72,0.78
2021-10-26,86.4,0.41,85.28,-0.16,86.53,-0.19
2021-10-27,84.58,-1.82,84.05,-1.23,86.27,-0.26
2021-10-28,75.39,-9.19,82.31,-1.74,84.57,-1.7
2021-10-29,75.11,-0.28,74.61,-7.7,75.77,-8.8
2021-11-01,75.47,0.36,74.69,0.08,75.56,-0.21
2021-11-02,75.56,0.09,74.99,0.3,75.7,0.14
2021-11-03,73.66,-1.9,73.05,-1.94,74.71,-0.99
2021-11-04,73.44,-0.22,73.21,0.16,75.56,0.85
2021-11-05,75.38,1.94,73.45,0.24,75.55,-0.01
2021-11-08,75.91,0.53,75.43,1.98,76.06,0.51
2021-11-09,76.45,0.54,75.75,0.32,76.51,0.45
2021-11-10,74.92,-1.53,74.67,-1.08,76.73,0.22
2021-11-11,75.36,0.44,74.47,-0.2,75.49,-1.24
2021-11-12,74.81,-0.55,74.1,-0.37,75.2,-0.29
2021-11-15,74.81,0,74.03,-0.07,74.9,-0.3
2021-11-16,75.04,0.23,74.6,0.57,75.54,0.64
2021-11-17,73.62,-1.42,73.33,-1.27,74.85,-0.69
2021-11-18,74.57,0.95,73.08,-0.25,74.57,-0.28
2021-11-19,72.75,-1.82,72.49,-0.59,74.97,0.4
2021-11-22,73.79,1.04,72,-0.49,73.83,-1.14
2021-11-23,75.81,2.02,72.99,0.99,76.01,2.18
2021-11-24,75.55,-0.26,75.24,2.25,75.91,-0.1
2021-11-26,67.74,-7.81,67.82,-7.42,75.83,-0.08
2021-11-29,69.48,1.74,68.65,0.83,71.35,-4.48
2021-11-30,65.98,-3.5,64.72,-3.93,70.51,-0.84
2021-12-01,65.99,0.01,65.77,1.05,68.65,-1.86
2021-12-02,66.78,0.79,64.14,-1.63,67.28,-1.37
2021-12-03,67.2,0.42,66.66,2.52,68.77,1.49
2021-12-06,69.78,2.58,68,1.34,70.2,1.43
2021-12-07,71.93,2.15,69.9,1.9,72.25,2.05
2021-12-08,72.62,0.69,71.36,1.46,72.73,0.48
2021-12-09,71.48,-1.14,70.99,-0.37,73.08,0.35
2021-12-10,71.84,0.36,71.22,0.23,72.4,-0.68
2021-12-13,71.46,-0.38,71.36,0.14,72.6,0.2
2021-12-14,70.94,-0.52,70.24,-1.12,71.76,-0.84
2021-12-15,70.74,-0.2,69.74,-0.5,71.36,-0.4
2021-12-16,71.4,0.66,70.75,1.01,71.9,0.54
2021-12-17,70.02,-1.38,69.52,-1.23,71.2,-0.7
2021-12-20,68.49,-1.53,66.83,-2.69,69.05,-2.15
2021-12-21,70.5,2.01,68.9,2.07,70.71,1.66
2021-12-22,71.16,0.66,69.9,1,71.33,0.62
2021-12-23,72.18,1.02,70.81,0.91,72.3,0.97
2021-12-27,73.61,1.43,71,0.19,74.03,1.73
2021-12-28,74.02,0.41,73.9,2.9,74.7,0.67
2021-12-29,74.63,0.61,73.67,-0.23,75.06,0.36
2021-12-30,74.96,0.33,74.19,0.52,75.22,0.16
2021-12-31,73.35,-1.61,73.29,-0.9,74.69,-0.53
2022-01-03,74.59,1.24,73.24,-0.05,74.7,0.01
2022-01-04,75.59,1,74.59,1.35,75.78,1.08
2022-01-05,75.75,0.16,75.25,0.66,76.25,0.47
2022-01-06,76.48,0.73,74.69,-0.56,76.97,0.72
2022-01-07,76.3,-0.18,76,1.31,77.23,0.26
2022-01-10,75.73,-0.57,75.47,-0.53,76.76,-0.47
2022-01-11,77.92,2.19,75.9,0.43,77.98,1.22
2022-01-12,78.49,0.57,77.68,1.78,78.82,0.84
2022-01-13,78.33,-0.16,77.77,0.09,78.79,-0.03
2022-01-14,79.49,1.16,78.2,0.43,79.71,0.92
2022-01-18,80.7,1.21,79.19,0.99,81.4,1.69
2022-01-19,81.23,0.53,80.85,1.66,81.7,0.3
2022-01-20,81.54,0.31,80.38,-0.47,82.01,0.31
2022-01-21,80.98,-0.56,79.36,-1.02,81.08,-0.93
2022-01-24,79.62,-1.36,78.49,-0.87,81.7,0.62
2022-01-25,80.92,1.3,79.61,1.12,81,-0.7
2022-01-26,81.89,0.97,80.65,1.04,82.4,1.4
2022-01-27,81.18,-0.71,80.89,0.24,82.6,0.2
2022-01-28,81.1,-0.08,80.86,-0.03,82.46,-0.14
2022-01-31,81.62,0.52,81,0.14,81.91,-0.55
2022-02-01,81.57,-0.05,80.32,-0.68,82.02,0.11
2022-02-02,81.99,0.42,81.29,0.97,82.75,0.73
2022-02-03,83.27,1.28,80.98,-0.31,83.34,0.59
2022-02-04,84.52,1.25,83.39,2.41,84.78,1.44
2022-02-07,84.55,0.03,84.24,0.85,85.18,0.4
2022-02-08,83.11,-1.44,82.6,-1.64,84.61,-0.57
2022-02-09,84.09,0.98,82.56,-0.04,84.44,-0.17
2022-02-10,84.02,-0.07,83.62,1.06,85.18,0.74
2022-02-11,85.5,1.48,83.16,-0.46,86.04,0.86
2022-02-14,86.38,0.88,84.56,1.4,86.5,0.46
2022-02-15,83.55,-2.83,82.83,-1.73,85.73,-0.77
2022-02-16,84.46,0.91,82.28,-0.55,84.84,-0.89
2022-02-17,83.54,-0.92,82.76,0.48,84.01,-0.83
2022-02-18,84.25,0.71,82.16,-0.6,84.66,0.65
2022-02-22,85.79,1.54,83.65,1.49,87.74,3.08
2022-02-23,86.56,0.77,85.06,1.41,87.53,-0.21
2022-02-24,86.24,-0.32,85.2,0.14,92.04,4.51
2022-02-25,85.24,-1,84.48,-0.72,88.13,-3.91
2022-02-28,86.85,1.61,86.48,2,89.3,1.17
2022-03-01,89,2.15,87.16,0.68,90.5,1.2
2022-03-02,93.28,4.28,89.79,2.63,93.72,3.22
2022-03-03,93.46,0.18,92.39,2.6,96.31,2.59
2022-03-04,100.74,7.28,93.87,1.48,100.85,4.54
2022-03-07,103,2.26,99.72,5.85,108.5,7.65
2022-03-08,104.33,1.33,102.21,2.49,108.16,-0.34
2022-03-09,92.15,-12.18,94.92,-7.29,94.92,-13.24
2022-03-10,92.38,0.23,91.8,-3.12,96.72,1.8
2022-03-11,109.1,16.72,103.11,11.31,109.67,12.95
2022-03-14,91.96,-17.14,100.66,-2.45,109.03,-0.64
2022-03-15,89.46,-2.5,86.67,-13.99,90.98,-18.05
2022-03-16,87.53,-1.93,87.24,0.57,91.5,0.52
2022-03-17,93.04,5.51,93.08,5.84,93.54,2.04
2022-03-18,94.35,1.31,92.56,-0.52,95.03,1.49
2022-03-21,98.47,4.12,94.9,2.34,99,3.97
2022-03-22,98.19,-0.28,96.96,2.06,100.16,1.16
2022-03-23,101.22,3.03,98.65,1.69,101.61,1.45
2022-03-24,99.14,-2.08,98.07,-0.58,102.4,0.79
2022-03-25,100.61,1.47,96.53,-1.54,100.66,-1.74
2022-03-28,95.28,-5.33,92.5,-4.03,97.97,-2.69
2022-03-29,95.14,-0.14,90.85,-1.65,96.81,-1.16
2022-03-30,98.44,3.3,96.31,5.46,98.43,1.62
2022-03-31,95.51,-2.93,94.71,-1.6,98.3,-0.13
2022-04-01,97,1.49,94.43,-0.28,97.19,-1.11
2022-04-04,99.85,2.85,96,1.57,100,2.81
2022-04-05,99.05,-0.8,97.31,1.31,100.81,0.81
2022-04-06,95.63,-3.42,95.65,-1.66,100.21,-0.6
2022-04-07,96.12,0.49,94.39,-1.26,97.36,-2.85
2022-04-08,97.95,1.83,95.55,1.16,98,0.64
2022-04-11,98.48,0.53,94.02,-1.53,97.01,-0.99
2022-04-12,104.64,6.16,98.98,4.96,105.6,8.59
2022-04-13,102.24,-2.4,104.07,5.09,109,3.4
2022-04-14,103.6,1.36,100.38,-3.69,103.8,-5.2
2022-04-18,103.82,0.22,102.14,1.76,105.14,1.34
2022-04-19,99.23,-4.59,99.12,-3.02,103.79,-1.35
2022-04-20,99.74,0.51,98.41,-0.71,100.79,-3
2022-04-21,101.1,1.36,99.9,1.49,102.09,1.3
2022-04-22,98.93,-2.17,97.89,-2.01,100.49,-1.6
2022-04-25,96.07,-2.86,93.92,-3.97,97.89,-2.6
2022-04-26,97.61,1.54,95.45,1.53,98.58,0.69
2022-04-27,97.92,0.31,96.54,1.09,98.44,-0.14
2022-04-28,98.79,0.87,96.39,-0.15,99.05,0.61
2022-04-29,98.14,-0.65,97.6,1.21,100.46,1.41
2022-05-02,98.78,0.64,95.83,-1.77,99.5,-0.96
2022-05-03,97.45,-1.33,97.09,1.26,99.09,-0.41
2022-05-04,101.73,4.28,98.52,1.43,101.92,2.83
2022-05-05,102,0.27,100.62,2.1,104.11,2.19
2022-05-06,103.61,1.61,101,0.38,103.99,-0.12
2022-05-09,98.55,-5.06,97.89,-3.11,104.06,0.07
2022-05-10,95.84,-2.71,95.59,-2.3,99.01,-5.05
2022-05-11,100.08,4.24,95.23,-0.36,100.49,1.48
2022-05-12,99.64,-0.44,98.19,2.96,100.44,-0.05
2022-05-13,102.24,2.6,99.86,1.67,102.28,1.84
2022-05-16,103.37,1.13,103.3,3.44,103.3,1.02
2022-05-17,101.61,-1.76,101.04,-2.26,104.31,1.01
2022-05-18,98.76,-2.85,98.29,-2.75,103.02,-1.29
2022-05-19,101.24,2.48,96.9,-1.39,101.38,-1.64
2022-05-20,101.04,-0.2,100.11,3.21,101.62,0.24
2022-05-23,102.01,0.97,100.72,0.61,102.33,0.71
2022-05-24,102.28,0.27,100.69,-0.03,103.24,0.91
2022-05-25,103.01,0.73,102.3,1.61,103.37,0.13
2022-05-26,105.44,2.43,102.91,0.61,105.88,2.51
2022-05-27,106.2,0.76,104.15,1.24,106.33,0.45
2022-05-31,105.67,-0.53,105.33,1.18,109.8,3.47
2022-06-01,106.81,1.14,105.83,0.5,107.95,-1.85
2022-06-02,108.37,1.56,104.07,-1.76,108.91,0.96
2022-06-03,110.13,1.76,107.43,3.36,111.42,2.51
2022-06-06,110.26,0.13,111.07,3.64,111.07,-0.35
2022-06-07,111.85,1.59,110.31,-0.76,112.49,1.42
2022-06-08,114.19,2.34,112,1.69,115.06,2.57
2022-06-09,113.78,-0.41,113.39,1.39,114.53,-0.53
2022-06-10,112.24,-1.54,110.3,-3.09,114.12,-0.41
2022-06-13,112.13,-0.11,109.28,-1.02,113.35,-0.77
2022-06-14,110.72,-1.41,109.21,-0.07,113.98,0.63
2022-06-15,108.92,-1.8,108.63,-0.58,110.97,-3.01
2022-06-16,110.41,1.49,107.19,-1.44,110.65,-0.32
2022-06-17,104.24,-6.17,103.39,-3.8,111.06,0.41
2022-06-21,105.25,1.01,103.65,0.26,106.74,-4.32
2022-06-22,102.43,-2.82,98.95,-4.7,104.81,-1.93
2022-06-23,99.53,-2.9,99,0.05,102.26,-2.55
2022-06-24,101.56,2.03,98.49,-0.51,102.46,0.2
2022-06-27,103.19,1.63,100.41,1.92,103.8,1.34
2022-06-28,106.11,2.92,103.77,3.36,106.33,2.53
2022-06-29,104.36,-1.75,103.91,0.14,107.79,1.46
2022-06-30,100.58,-3.78,100.25,-3.66,104.99,-2.8
2022-07-01,102.16,1.58,99.8,-0.45,103,-1.99
2022-07-05,93.3,-8.86,91.88,-7.92,104.51,1.51
2022-07-06,91.82,-1.48,89.87,-2.01,95.57,-8.94
2022-07-07,95.54,3.72,90.79,0.92,96.58,1.01
2022-07-08,98.09,2.55,95.46,4.67,98.45,1.87
2022-07-11,98.52,0.43,95.24,-0.22,98.69,0.24
2022-07-12,91.69,-6.83,91.19,-4.05,97.62,-1.07
2022-07-13,92.18,0.49,90.56,-0.63,93.16,-4.46
2022-07-14,90.93,-1.25,91.61,1.05,91.61,-1.55
2022-07-15,92.51,1.58,90.19,-1.42,93.65,2.04
2022-07-18,96.7,4.19,91.29,1.1,97.02,3.37
2022-07-19,97.48,0.78,94.5,3.21,97.68,0.66
2022-07-20,97.36,-0.12,95.67,1.17,97.69,0.01
2022-07-21,95.05,-2.31,93.08,-2.59,96.95,-0.74
2022-07-22,94.04,-1.01,93.5,0.42,96.2,-0.75
2022-07-25,95.92,1.88,92.71,-0.79,96.04,-0.16
2022-07-26,95.34,-0.58,94.92,2.21,97.81,1.77
2022-07-27,97.75,2.41,98.72,3.8,98.73,0.92
2022-07-28,97.74,-0.01,97.01,-1.71,100.2,1.47
2022-07-29,99.62,1.88,97.96,0.95,101.8,1.6
2022-08-01,96.47,-3.15,95,-2.96,99.51,-2.29
2022-08-02,97.28,0.81,95.14,0.14,98.47,-1.04
2022-08-03,94.06,-3.22,94.01,-1.13,99,0.53
2022-08-04,91.31,-2.75,90.45,-3.56,94.8,-4.2
2022-08-05,91.92,0.61,89.86,-0.59,93.22,-1.58
2022-08-08,93.9,1.98,90.56,0.7,94,0.78
2022-08-09,93.64,-0.26,92.27,1.71,95.53,1.53
2022-08-10,95.18,1.54,91.43,-0.84,95.47,-0.06
2022-08-11,97.15,1.97,94.67,3.24,97.7,2.23
2022-08-12,95.78,-1.37,94.86,0.19,97.72,0.02
2022-08-15,93.4,-2.38,90.93,-3.93,95.5,-2.22
2022-08-16,91.06,-2.34,91.02,0.09,91.02,-4.48
2022-08-17,92.3,1.24,90.34,-0.68,92.99,1.97
2022-08-18,94.68,2.38,91.8,1.46,95.43,2.44
2022-08-19,95.14,0.46,92.7,0.9,96,0.57
2022-08-22,94.88,-0.26,95.47,2.77,95.47,-0.53
2022-08-23,98,3.12,95.14,-0.33,98.18,2.71
2022-08-24,99.11,1.11,97.26,2.12,99.59,1.41
2022-08-25,97.25,-1.86,97.05,-0.21,100.18,0.59
2022-08-26,97.35,0.1,95.65,-1.4,98.59,-1.59
2022-08-29,100.94,3.59,96.61,0.96,101.09,2.5
2022-08-30,96.46,-4.48,96.96,0.35,96.96,-4.13
2022-08-31,94.21,-2.25,93.28,-3.68,97.53,0.57
2022-09-01,91.32,-2.89,90.86,-2.42,90.86,-6.67
2022-09-02,91.81,0.49,90.86,0,94,3.14
2022-09-06,91.97,0.16,91.38,0.52,95.5,1.5
2022-09-07,87.21,-4.76,86.55,-4.83,92.74,-2.76
2022-09-08,88.25,1.04,87.36,0.81,87.36,-5.38
2022-09-09,91.71,3.46,87.36,0,91.96,4.6
2022-09-12,92.93,1.22,90.25,2.89,93.92,1.96
2022-09-13,92.22,-0.71,90.18,-0.07,94.29,0.37
2022-09-14,93.12,0.9,93.42,3.24,93.42,-0.87
2022-09-15,89.61,-3.51,89.5,-3.92,89.5,-3.92
2022-09-16,90.05,0.44,89.01,-0.49,91.26,1.76
2022-09-19,90.66,0.61,87.24,-1.77,91.08,-0.18
2022-09-20,89.4,-1.26,89.59,2.35,89.59,-1.49
2022-09-21,88.8,-0.6,88.31,-1.28,92.19,2.6
2022-09-22,89.53,0.73,88.28,-0.03,91.74,-0.45
2022-09-23,85.03,-4.5,84.47,-3.81,89.78,-1.96
